Trial,Timestep,"ESG.Assets.EquityAssets.E_GBP.Sigma.StandardisedVolatility"
93,2,0.162223998535769,
93,3,0.257808210503159,
93,4,0.267170293016825,
93,5,0.294201237017611,
93,6,0.267190599430053,
93,7,0.268638301622023,
93,8,0.170724522618862,
93,9,0.141808021635037,
93,10,0.0790944003002025,
94,0,0.109142808879906,
94,1,0.218907548370253,
94,2,0.256614191484946,
94,3,0.154313878289776,
94,4,0.167717481486739,
94,5,0.146201226848503,
94,6,0.151697693060045,
94,7,0.148514211553671,
94,8,0.260000360924876,
94,9,0.321292794842288,
94,10,0.336715172230288,
95,0,0.109142808879906,
95,1,0.0551481153144341,
95,2,0.132687990619272,
95,3,0.108509874128858,
95,4,0.101374914913191,
95,5,0.141868020505184,
95,6,0.137969497182121,
